@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
0.539694,0.02361,0.033821,0.029021,0.078808,0.026709,0.029925,0.069246,0.079223,0.055949,0.054942,0.032044,0.009822,0.003323,0.04935,0.018395,0.009772,0.023542,0.007966,0.029073,0.041336,0.019935,0.029828,0.020943,0.011701,0.023975,0.023552,0.013933,0.006764,0.030782,0.016361,0.02859,0.000588,0.02859,0.016361,0.030782,0.006764,0.013933,0.023552,0.023975,0.011701,0.020943,0.029828,0.019935,0.041336,0.029073,0.007966,0.023542,0.009772,0.018395,0.04935,0.003323,0.009822,0.032044,0.054942,0.055949,0.079223,0.069246,0.029925,0.026709,0.078808,0.029021,0.033821,0.02361,0.022377,standing
1.490519,0.352482,0.144845,0.132861,0.098591,0.0771,0.013452,0.066092,0.012629,0.091704,0.059642,0.097702,0.119041,0.074562,0.180816,0.18731,0.094189,0.1527,0.071941,0.120322,0.0499,0.04728,0.058413,0.079013,0.069569,0.054721,0.037478,0.069209,0.049893,0.022206,0.035427,0.030625,0.011437,0.030625,0.035427,0.022206,0.049893,0.069209,0.037478,0.054721,0.069569,0.079013,0.058413,0.04728,0.0499,0.120322,0.071941,0.1527,0.094189,0.18731,0.180816,0.074562,0.119041,0.097702,0.059642,0.091704,0.012629,0.066092,0.013452,0.0771,0.098591,0.132861,0.144845,0.352482,0.063707,standing
1.700699,0.214556,0.154846,0.065241,0.082429,0.049881,0.089127,0.026253,0.061578,0.081823,0.088842,0.041198,0.028159,0.067847,0.096334,0.042257,0.060076,0.111112,0.131663,0.168561,0.160756,0.167731,0.082413,0.055164,0.046844,0.083443,0.050386,0.044861,0.04744,0.018292,0.016988,0.020205,0.022499,0.020205,0.016988,0.018292,0.04744,0.044861,0.050386,0.083443,0.046844,0.055164,0.082413,0.167731,0.160756,0.168561,0.131663,0.111112,0.060076,0.042257,0.096334,0.067847,0.028159,0.041198,0.088842,0.081823,0.061578,0.026253,0.089127,0.049881,0.082429,0.065241,0.154846,0.214556,0.051367,standing
1.678225,0.202826,0.074961,0.100625,0.142921,0.095527,0.054693,0.112808,0.006354,0.037372,0.027956,0.011496,0.101934,0.038805,0.099851,0.104125,0.137381,0.109097,0.066279,0.195074,0.154084,0.071435,0.05494,0.04892,0.051662,0.007989,0.041304,0.02504,0.021182,0.023992,0.02483,0.016998,0.021914,0.016998,0.02483,0.023992,0.021182,0.02504,0.041304,0.007989,0.051662,0.04892,0.05494,0.071435,0.154084,0.195074,0.066279,0.109097,0.137381,0.104125,0.099851,0.038805,0.101934,0.011496,0.027956,0.037372,0.006354,0.112808,0.054693,0.095527,0.142921,0.100625,0.074961,0.202826,0.060192,standing
3.017609,0.225449,0.338269,0.176823,0.164975,0.07642,0.060495,0.031334,0.022053,0.065619,0.107519,0.144117,0.070285,0.042244,0.07758,0.136131,0.284714,0.20407,0.490003,0.353323,0.109083,0.137017,0.083266,0.063357,0.051396,0.044368,0.042877,0.071651,0.025623,0.047807,0.062656,0.022862,0.012906,0.022862,0.062656,0.047807,0.025623,0.071651,0.042877,0.044368,0.051396,0.063357,0.083266,0.137017,0.109083,0.353323,0.490003,0.20407,0.284714,0.136131,0.07758,0.042244,0.070285,0.144117,0.107519,0.065619,0.022053,0.031334,0.060495,0.07642,0.164975,0.176823,0.338269,0.225449,0.100395,standing
1.230404,0.152314,0.164255,0.080767,0.153068,0.046655,0.034408,0.056383,0.007566,0.046384,0.034091,0.062819,0.015827,0.099523,0.013762,0.089409,0.132389,0.161048,0.107752,0.050181,0.04704,0.075076,0.085194,0.120288,0.030146,0.018947,0.060548,0.041811,0.024099,0.025599,0.045862,0.01082,0.000669,0.01082,0.045862,0.025599,0.024099,0.041811,0.060548,0.018947,0.030146,0.120288,0.085194,0.075076,0.04704,0.050181,0.107752,0.161048,0.132389,0.089409,0.013762,0.099523,0.015827,0.062819,0.034091,0.046384,0.007566,0.056383,0.034408,0.046655,0.153068,0.080767,0.164255,0.152314,0.048767,standing
0.886677,0.124138,0.115171,0.048321,0.045138,0.027366,0.059101,0.042739,0.129233,0.023781,0.02814,0.025015,0.069087,0.02003,0.041062,0.019005,0.045313,0.064304,0.032069,0.075108,0.05211,0.07874,0.035727,0.040698,0.038286,0.04284,0.008646,0.007815,0.035558,0.004823,0.025374,0.033709,0.01143,0.033709,0.025374,0.004823,0.035558,0.007815,0.008646,0.04284,0.038286,0.040698,0.035727,0.07874,0.05211,0.075108,0.032069,0.064304,0.045313,0.019005,0.041062,0.02003,0.069087,0.025015,0.02814,0.023781,0.129233,0.042739,0.059101,0.027366,0.045138,0.048321,0.115171,0.124138,0.035371,standing
1.27176,0.185926,0.114622,0.061343,0.030863,0.080006,0.069719,0.028204,0.085936,0.069985,0.089476,0.070786,0.095627,0.057084,0.124912,0.048563,0.091195,0.157581,0.077467,0.041247,0.055768,0.03115,0.036082,0.007976,0.055904,0.02942,0.013467,0.011077,0.005854,0.017156,0.007005,0.016332,0.008644,0.016332,0.007005,0.017156,0.005854,0.011077,0.013467,0.02942,0.055904,0.007976,0.036082,0.03115,0.055768,0.041247,0.077467,0.157581,0.091195,0.048563,0.124912,0.057084,0.095627,0.070786,0.089476,0.069985,0.085936,0.028204,0.069719,0.080006,0.030863,0.061343,0.114622,0.185926,0.044581,standing
2.427184,0.427655,0.215213,0.132148,0.120025,0.06287,0.07253,0.15766,0.035074,0.02409,0.062166,0.077902,0.060373,0.106744,0.045838,0.186616,0.221338,0.273587,0.107219,0.210268,0.250428,0.061263,0.068053,0.12698,0.004094,0.061533,0.029384,0.008793,0.052503,0.042258,0.034101,0.024806,0.049651,0.024806,0.034101,0.042258,0.052503,0.008793,0.029384,0.061533,0.004094,0.12698,0.068053,0.061263,0.250428,0.210268,0.107219,0.273587,0.221338,0.186616,0.045838,0.106744,0.060373,0.077902,0.062166,0.02409,0.035074,0.15766,0.07253,0.06287,0.120025,0.132148,0.215213,0.427655,0.091723,standing
2.698604,0.421993,0.312166,0.302111,0.062773,0.209569,0.083958,0.09097,0.052675,0.078716,0.092138,0.076262,0.057248,0.307673,0.197334,0.139942,0.40414,0.337011,0.193715,0.064931,0.155688,0.038138,0.012325,0.065271,0.014632,0.034045,0.068812,0.042177,0.016516,0.023776,0.054623,0.03881,0.05715,0.03881,0.054623,0.023776,0.016516,0.042177,0.068812,0.034045,0.014632,0.065271,0.012325,0.038138,0.155688,0.064931,0.193715,0.337011,0.40414,0.139942,0.197334,0.307673,0.057248,0.076262,0.092138,0.078716,0.052675,0.09097,0.083958,0.209569,0.062773,0.302111,0.312166,0.421993,0.101535,standing
